time,.pitch,.roll,.height,.xx,.yy
2024/05/14/14:34:14.667191,0.0,0.0,41.0,114.083679199,161.341583252
2024/05/14/14:34:14.767425,0.0,0.0,44.0,113.117668152,161.08757019
2024/05/14/14:34:14.867458,0.0,0.0,50.0,112.207191467,160.676818848
2024/05/14/14:34:14.967543,0.0,0.0,52.0,111.377464294,160.120727539
2024/05/14/14:34:15.067544,0.0,0.0,58.0,110.638374329,159.447738647
2024/05/14/14:34:15.167650,0.0,0.0,64.0,109.914848328,158.75743103
2024/05/14/14:34:15.267767,0.0,0.0,64.0,109.191329956,158.067138672
2024/05/14/14:34:15.367814,0.0,0.0,70.0,108.486740112,157.358200073
2024/05/14/14:34:15.467944,0.0,0.0,75.0,107.897117615,156.551956177
2024/05/14/14:34:15.568042,0.0,0.0,80.0,107.449417114,155.659057617
2024/05/14/14:34:15.668179,-0.0578987970948,-0.0613452866673,85.0,107.156051636,154.704269409
2024/05/14/14:34:15.768275,-0.282089650631,0.0817141085863,86.0,106.886497498,154.051269531
2024/05/14/14:34:15.868475,-0.334695875645,0.102015219629,91.0,106.542060852,153.43447876
2024/05/14/14:34:15.968450,0.0,0.122232303023,97.0,106.1275177,152.862442017
2024/05/14/14:34:16.068546,-0.334696054459,0.122232303023,97.0,105.648612976,152.343093872
2024/05/14/14:34:16.168714,0.0,0.122232303023,103.0,105.111984253,151.883636475
2024/05/14/14:34:16.268766,-0.33469581604,0.260132610798,103.0,104.52507019,151.490447998
2024/05/14/14:34:16.368874,0.0578985773027,0.142349466681,109.0,104.046165466,150.971099854
2024/05/14/14:34:16.469023,-0.334697306156,0.297968506813,108.0,103.631622314,150.39906311
2024/05/14/14:34:16.569263,0.0,0.182223007083,114.0,103.287185669,149.782272339
2024/05/14/14:34:16.669359,-0.227827996016,0.182223007083,114.0,103.017631531,149.129272461
2024/05/14/14:34:16.769495,0.0,0.240917548537,118.0,102.603088379,148.557235718
2024/05/14/14:34:16.869616,-0.227828115225,0.182223007083,118.0,102.124183655,148.037887573
2024/05/14/14:34:16.969737,0.0,0.406061321497,122.0,101.587554932,147.578430176
2024/05/14/14:34:17.069723,0.0,0.423211961985,126.0,100.569656372,146.597351074
2024/05/14/14:34:17.169859,0.0,0.440101653337,128.0,99.5517578125,145.616271973
2024/05/14/14:34:17.270064,0.0,0.473084956408,130.0,98.5338592529,144.635192871
2024/05/14/14:34:17.370102,0.0,0.489173620939,131.0,97.5159606934,143.65411377
2024/05/14/14:34:17.470197,0.38524338603,0.504991233349,132.0,96.4980621338,142.673034668
2024/05/14/14:34:17.570299,-0.38524338603,0.279153108597,125.0,95.989112854,142.182495117
2024/05/14/14:34:17.670406,0.38524338603,0.504991233349,132.0,95.4801635742,141.691955566
2024/05/14/14:34:17.770580,-0.38524338603,0.279153108597,125.0,94.9712142944,141.201416016
2024/05/14/14:34:17.870592,0.38524338603,0.504991233349,132.0,94.4622650146,140.710876465
2024/05/14/14:34:17.970857,-0.334513783455,0.279153108597,125.0,93.9533157349,140.220336914
2024/05/14/14:34:18.071019,0.38524338603,0.406061321497,131.0,93.4443664551,139.729797363
2024/05/14/14:34:18.171126,-0.38524338603,0.279153108597,124.0,92.9354171753,139.239257812
2024/05/14/14:34:18.271186,0.433969914913,0.406061321497,131.0,92.4264678955,138.748718262
2024/05/14/14:34:18.371300,-0.38524338603,0.279153108597,123.0,91.9175186157,138.258178711
2024/05/14/14:34:18.471436,0.433969914913,0.406061321497,130.0,91.4085693359,137.76763916
2024/05/14/14:34:18.571594,-0.334513783455,0.279153108597,122.0,90.8996200562,137.277099609
2024/05/14/14:34:18.671701,0.38524338603,0.406061321497,128.0,90.3906707764,136.786560059
2024/05/14/14:34:18.771880,-0.334513783455,0.370994955301,121.0,89.8817214966,136.296020508
2024/05/14/14:34:18.871948,0.433969914913,0.388653993607,127.0,89.3727722168,135.805480957
2024/05/14/14:34:18.972110,-0.334513783455,0.370994955301,119.0,88.863822937,135.314941406
2024/05/14/14:34:19.072198,0.38524338603,0.388653993607,125.0,88.3548736572,134.824401855
2024/05/14/14:34:19.172346,-0.281931519508,0.334945499897,118.0,87.8459243774,134.333862305
2024/05/14/14:34:19.272391,0.38524338603,0.370994955301,123.0,87.3369750977,133.843322754
2024/05/14/14:34:19.372517,-0.281931519508,0.334945499897,116.0,86.8280258179,133.352783203
2024/05/14/14:34:19.472718,0.38524338603,0.370994955301,121.0,86.3190765381,132.862243652
2024/05/14/14:34:19.572927,-0.227698847651,0.316568940878,114.0,85.8101272583,132.371704102
2024/05/14/14:34:19.673053,0.38524338603,0.221519365907,118.0,85.3011779785,131.881164551
2024/05/14/14:34:19.773072,-0.227698847651,0.316568940878,111.0,84.7922286987,131.390625
2024/05/14/14:34:19.873164,0.334513783455,0.201950207353,115.0,84.2832794189,130.900085449
2024/05/14/14:34:19.973256,-0.172069460154,0.279153108597,109.0,83.7743301392,130.409545898
2024/05/14/14:34:20.073487,0.334513783455,0.182223007083,112.0,83.2653808594,129.919006348
2024/05/14/14:34:20.173579,-0.172069460154,0.260132610798,106.0,82.7564315796,129.428466797
2024/05/14/14:34:20.273644,0.334513783455,0.182223007083,109.0,82.2474822998,128.937927246
2024/05/14/14:34:20.373759,-0.115345276892,0.240917548537,103.0,81.73853302,128.447387695
2024/05/14/14:34:20.473825,0.334516108036,0.162351325154,105.0,81.2295837402,127.956855774
2024/05/14/14:34:20.573895,-0.172070741653,0.221519365907,99.0,80.7206344604,127.466323853
2024/05/14/14:34:20.673991,0.385245978832,0.182223007083,102.0,80.2116851807,126.975791931
2024/05/14/14:34:20.774117,-0.115345276892,0.221519365907,95.0,79.7027359009,126.48526001
2024/05/14/14:34:20.874191,0.281933516264,0.142349466681,97.0,79.1937866211,125.994728088
2024/05/14/14:34:20.974318,0.0,0.279153108597,92.0,78.6848373413,125.504196167
2024/05/14/14:34:21.074408,0.0,0.279153108597,88.0,77.6669387817,124.523132324
2024/05/14/14:34:21.174527,0.0,0.260132610798,83.0,76.6490402222,123.542068481
2024/05/14/14:34:21.274622,0.0,0.221519365907,79.0,75.6311416626,122.561004639
2024/05/14/14:34:21.374729,0.0,0.221519365907,75.0,74.613243103,121.579940796
2024/05/14/14:34:21.474859,0.227829009295,0.102015219629,75.0,74.1986999512,121.007904053
2024/05/14/14:34:21.574985,-0.0578987970948,0.102015219629,71.0,73.8542633057,120.391113281
2024/05/14/14:34:21.675104,0.0,0.182223007083,72.0,73.5847091675,119.738113403
2024/05/14/14:34:21.775237,0.227829694748,0.201950207353,72.0,73.1701660156,119.16607666
2024/05/14/14:34:21.875374,0.0,0.182223007083,68.0,72.6912612915,118.646736145
2024/05/14/14:34:21.975424,0.227828145027,0.0817141085863,68.0,72.1546325684,118.187278748
2024/05/14/14:34:22.075571,0.0,0.182223007083,64.0,71.5677185059,117.794082642
2024/05/14/14:34:22.175753,0.172168523073,0.102015219629,64.0,71.0888137817,117.274742126
2024/05/14/14:34:22.275899,0.0,0.162351325154,61.0,70.6742706299,116.702705383
2024/05/14/14:34:22.375967,0.172168657184,0.0817141085863,61.0,70.1376419067,116.243247986
2024/05/14/14:34:22.476003,0.172071188688,0.142349466681,58.0,69.5507278442,115.85005188
2024/05/14/14:34:22.576146,0.0,0.102015219629,55.0,68.9876556396,115.422737122
2024/05/14/14:34:22.676268,0.172071188688,0.142349466681,55.0,68.4245834351,114.995422363
2024/05/14/14:34:22.776374,0.0,0.0817141085863,52.0,67.8615112305,114.568107605
2024/05/14/14:34:22.876461,0.0,0.102015219629,50.0,66.7353668213,113.713478088
2024/05/14/14:34:22.976547,0.0,0.0817141085863,48.0,65.6092224121,112.858848572
2024/05/14/14:34:23.076653,0.115345090628,0.122232303023,46.0,64.4830780029,112.004219055
2024/05/14/14:34:23.176859,0.0,0.102015219629,44.0,63.9200019836,111.576904297
2024/05/14/14:34:23.277014,0.0,0.0817141085863,43.0,62.7938575745,110.72227478
2024/05/14/14:34:23.377129,0.115411192179,0.122232303023,43.0,62.3149490356,110.202934265
2024/05/14/14:34:23.477236,0.0,0.102015219629,41.0,61.9004020691,109.630897522
2024/05/14/14:34:23.577346,0.0578653812408,0.102015219629,42.0,61.0048789978,108.536994934
2024/05/14/14:34:23.677493,0.0,0.122232303023,41.0,60.5571174622,107.99004364
2024/05/14/14:34:23.777575,0.0,0.122232303023,40.0,59.6615943909,106.896141052
2024/05/14/14:34:23.877687,0.0,0.142349466681,39.0,58.7660713196,105.802238464
2024/05/14/14:34:23.977735,0.0,0.0817141085863,38.0,57.8705482483,104.708335876
2024/05/14/14:34:24.077818,0.0,0.122232303023,36.0,56.975025177,103.614433289
2024/05/14/14:34:24.177931,0.172168627381,0.122232303023,38.0,56.0795021057,102.520530701
2024/05/14/14:34:24.278021,0.115411631763,0.162351325154,35.0,55.5428733826,102.061073303
2024/05/14/14:34:24.378111,0.0,0.122232303023,33.0,54.9559593201,101.667877197
2024/05/14/14:34:24.478229,0.0,0.0817141085863,32.0,53.8298149109,100.813247681
2024/05/14/14:34:24.578424,0.0,0.0817141085863,30.0,52.7036705017,99.9586181641
