time,.pitch,.roll,.height,.xx,.yy
2024/05/14/14:32:37.148369,0.0,0.0,41.0,114.059638977,161.332122803
2024/05/14/14:32:37.248407,0.0,0.0,44.0,113.072463989,161.179641724
2024/05/14/14:32:37.348494,0.0,0.0,47.0,112.075866699,161.097198486
2024/05/14/14:32:37.448723,0.0,0.0,49.0,111.079269409,161.01473999
2024/05/14/14:32:37.548815,0.0,0.0,55.0,110.082672119,160.932296753
2024/05/14/14:32:37.648924,0.0,0.0,57.0,109.086082458,160.849838257
2024/05/14/14:32:37.749040,0.0,0.0,59.0,108.089485168,160.76739502
2024/05/14/14:32:37.849175,0.0,0.0,61.0,107.092887878,160.684951782
2024/05/14/14:32:37.949288,0.0,0.0,63.0,106.096290588,160.602493286
2024/05/14/14:32:38.049438,-0.0578983314335,0.0817141085863,64.0,105.106361389,160.467758179
2024/05/14/14:32:38.149368,-0.0578985996544,0.102015219629,65.0,104.453453064,160.197967529
2024/05/14/14:32:38.249543,0.0,0.0817141085863,66.0,103.755607605,160.088043213
2024/05/14/14:32:38.349772,-0.0578986778855,0.0613452866673,66.0,103.049682617,160.060913086
2024/05/14/14:32:38.449872,-0.0578985996544,0.0613452866673,67.0,102.345458984,160.116943359
2024/05/14/14:32:38.549932,-0.0578984841704,0.0409253723919,68.0,101.647613525,160.007019043
2024/05/14/14:32:38.650032,0.0,0.0613452866673,69.0,100.967521667,159.815841675
2024/05/14/14:32:38.750138,0.0,0.0613452866673,69.0,100.26159668,159.788711548
2024/05/14/14:32:38.850244,0.0,0.0613452866673,69.0,99.5573730469,159.844741821
2024/05/14/14:32:38.950342,0.0,0.0409253723919,69.0,98.8506622314,159.859222412
2024/05/14/14:32:39.050462,0.0578984841704,0.0204712562263,69.0,97.446105957,159.763778687
2024/05/14/14:32:39.150577,0.0,0.0204712562263,68.0,96.7660140991,159.572601318
2024/05/14/14:32:39.250747,0.0578984282911,0.0,68.0,95.4225387573,159.151916504
2024/05/14/14:32:39.350862,0.0,0.0,67.0,94.8058700562,158.807250977
2024/05/14/14:32:39.450972,0.0578985400498,0.0,67.0,93.5977249146,158.084564209
2024/05/14/14:32:39.551107,0.0578992031515,0.0,66.0,93.0785522461,157.60546875
2024/05/14/14:32:39.651253,0.0,0.0204712562263,65.0,92.6192932129,157.06867981
2024/05/14/14:32:39.751409,0.0578985400498,0.0409253723919,65.0,92.22631073,156.481628418
2024/05/14/14:32:39.851541,0.0,0.0409253723919,64.0,91.7071380615,156.002532959
2024/05/14/14:32:39.951705,0.0578984282911,0.0204712562263,64.0,91.1352539062,155.587783813
2024/05/14/14:32:40.051741,0.0578655451536,0.0409253723919,63.0,90.5185852051,155.243118286
2024/05/14/14:32:40.151912,0.0,0.0204712562263,62.0,89.9229354858,154.862533569
2024/05/14/14:32:40.252062,0.0,0.0204712562263,61.0,88.7316360474,154.101364136
2024/05/14/14:32:40.352249,0.0578992031515,0.0204712562263,61.0,88.2124633789,153.622268677
2024/05/14/14:32:40.452311,0.0,0.0204712562263,60.0,87.7532043457,153.085479736
2024/05/14/14:32:40.552422,0.0578984282911,0.0204712562263,60.0,87.1813201904,152.670730591
2024/05/14/14:32:40.652539,0.0578983314335,0.0204712562263,59.0,86.5646514893,152.326065063
2024/05/14/14:32:40.752719,0.0,0.0204712562263,58.0,85.9117431641,152.056274414
2024/05/14/14:32:40.852810,0.0,0.0,58.0,85.2316513062,151.865097046
2024/05/14/14:32:40.952924,0.0,0.0,58.0,84.5338058472,151.755172729
2024/05/14/14:32:41.053072,0.0,0.0,58.0,83.8432388306,151.604278564
2024/05/14/14:32:41.153167,0.0,-0.0204712562263,58.0,83.1903305054,151.334487915
2024/05/14/14:32:41.253371,0.0,-0.0204712562263,58.0,82.5736618042,150.989822388
2024/05/14/14:32:41.353354,0.0,0.0,58.0,82.0017776489,150.575073242
2024/05/14/14:32:41.453568,0.0,-0.0204712562263,58.0,81.4826049805,150.095977783
2024/05/14/14:32:41.553585,0.0,-0.0204712562263,58.0,81.0233459473,149.559188843
2024/05/14/14:32:41.653677,0.0,-0.0204712562263,58.0,80.6303634644,148.972137451
2024/05/14/14:32:41.753777,0.0,-0.0204712562263,59.0,79.7761459351,147.845672607
2024/05/14/14:32:41.853826,-0.0578981637955,-0.0204712562263,59.0,79.0277786255,146.653259277
2024/05/14/14:32:41.953930,0.0,-0.0204712562263,60.0,78.782699585,145.99067688
2024/05/14/14:32:42.054034,-0.0578990057111,-0.0204712562263,60.0,78.6171951294,145.303894043
2024/05/14/14:32:42.154184,0.0,-0.0204712562263,61.0,78.5335617065,144.602416992
2024/05/14/14:32:42.254242,0.0,-0.0204712562263,61.0,78.5329589844,143.895965576
2024/05/14/14:32:42.354318,-0.0578981637955,-0.0204712562263,61.0,78.3674545288,143.209182739
2024/05/14/14:32:42.454507,-0.0578983649611,0.0,62.0,78.1223754883,142.546600342
2024/05/14/14:32:42.554548,0.0,0.0,63.0,77.8011169434,141.917419434
2024/05/14/14:32:42.654632,0.0,0.0204712562263,63.0,77.4081344604,141.330368042
2024/05/14/14:32:42.754704,0.0,0.0,63.0,76.9488754272,140.793579102
2024/05/14/14:32:42.854879,-0.0578987896442,0.0204712562263,63.0,76.4297027588,140.314483643
2024/05/14/14:32:42.954965,0.0,0.0,64.0,75.8578186035,139.899734497
2024/05/14/14:32:43.055079,0.0,0.0204712562263,64.0,75.3985595703,139.362945557
2024/05/14/14:32:43.155071,0.0,0.0,64.0,75.0055770874,138.775894165
2024/05/14/14:32:43.255266,-0.0578650012612,0.0,64.0,74.5784683228,138.212661743
2024/05/14/14:32:43.355385,0.0,0.0,65.0,74.1513595581,137.649429321
2024/05/14/14:32:43.455448,0.0,0.0,65.0,73.8301010132,137.020248413
2024/05/14/14:32:43.555563,0.0,0.0,65.0,73.37084198,136.483459473
2024/05/14/14:32:43.655679,0.0,0.0,65.0,73.0495834351,135.854278564
2024/05/14/14:32:43.755728,0.0578990057111,0.0,65.0,72.8045043945,135.191696167
2024/05/14/14:32:43.855885,0.0,0.0,64.0,72.4115219116,134.604644775
2024/05/14/14:32:43.956100,0.0,0.0,64.0,71.9522628784,134.067855835
2024/05/14/14:32:44.056184,0.0,-0.0204712562263,64.0,71.43309021,133.588760376
2024/05/14/14:32:44.156271,0.0578983649611,-0.0204712562263,64.0,71.0401077271,133.001708984
2024/05/14/14:32:44.256366,0.0578651055694,0.0,63.0,70.7188491821,132.372528076
2024/05/14/14:32:44.356522,0.0,0.0,62.0,70.3609008789,131.763000488
2024/05/14/14:32:44.456604,0.0578991360962,0.0204712562263,62.0,70.1158218384,131.100418091
2024/05/14/14:32:44.556801,0.0578990057111,0.0204712562263,61.0,69.9503173828,130.413635254
2024/05/14/14:32:44.656889,0.0,0.0204712562263,60.0,69.86668396,129.712158203
2024/05/14/14:32:44.757058,0.0,0.0409253723919,59.0,69.4967498779,128.35383606
2024/05/14/14:32:44.857120,0.057898491621,0.0204712562263,59.0,69.175491333,127.724655151
2024/05/14/14:32:44.957224,0.0578987337649,0.0204712562263,58.0,68.7825088501,127.13759613
2024/05/14/14:32:45.057366,0.0578989200294,0.0204712562263,57.0,68.3232498169,126.600799561
2024/05/14/14:32:45.157543,0.0578987523913,0.0,56.0,68.001991272,125.971626282
2024/05/14/14:32:45.257617,0.057898491621,0.0204712562263,55.0,67.7569122314,125.309051514
2024/05/14/14:32:45.357656,0.0578987337649,0.0204712562263,54.0,67.3639297485,124.721992493
2024/05/14/14:32:45.457709,0.0578985400498,0.0,53.0,66.9046707153,124.185195923
2024/05/14/14:32:45.557788,0.057898491621,0.0204712562263,52.0,66.3854980469,123.706100464
2024/05/14/14:32:45.657904,0.0578989200294,0.0,51.0,65.992515564,123.119041443
2024/05/14/14:32:45.758037,0.0578987523913,0.0204712562263,50.0,65.671257019,122.489868164
2024/05/14/14:32:45.858212,0.0,0.0204712562263,49.0,65.4261779785,121.827293396
2024/05/14/14:32:45.958256,0.115411862731,0.0,49.0,65.0331954956,121.240234375
2024/05/14/14:32:46.058331,0.0,0.0204712562263,47.0,64.5739364624,120.703437805
2024/05/14/14:32:46.158429,0.115412481129,0.0,47.0,64.0547637939,120.224342346
2024/05/14/14:32:46.258541,0.0,0.0204712562263,45.0,63.4828834534,119.809593201
2024/05/14/14:32:46.358706,0.115411385894,0.0,45.0,63.0236244202,119.272796631
2024/05/14/14:32:46.458833,0.0,0.0,43.0,62.6306419373,118.68573761
2024/05/14/14:32:46.558959,0.11541197449,0.0,43.0,62.1114692688,118.206642151
2024/05/14/14:32:46.659037,0.0,0.0,41.0,61.5395851135,117.791893005
2024/05/14/14:32:46.759161,0.057898491621,-0.0204712562263,41.0,61.0803260803,117.255096436
2024/05/14/14:32:46.859257,0.0,-0.0204712562263,40.0,60.6873435974,116.668037415
2024/05/14/14:32:46.959421,0.0578987523913,0.0204712562263,40.0,60.3660850525,116.038864136
2024/05/14/14:32:47.059403,0.11541146785,0.0204712562263,39.0,60.121006012,115.376289368
2024/05/14/14:32:47.159645,0.0,0.0204712562263,37.0,59.9555015564,114.689498901
2024/05/14/14:32:47.259770,0.0578984692693,0.0409253723919,37.0,59.6660995483,113.311767578
2024/05/14/14:32:47.359978,0.0,0.0613452866673,36.0,59.6654968262,112.605316162
2024/05/14/14:32:47.460088,0.0,0.0613452866673,36.0,59.7479324341,111.903694153
2024/05/14/14:32:47.560200,-0.0578985325992,0.0613452866673,36.0,59.6642990112,111.202209473
2024/05/14/14:32:47.660371,0.0,0.0613452866673,37.0,59.4987945557,110.515419006
2024/05/14/14:32:47.760512,0.0,0.0817141085863,37.0,59.2537155151,109.852844238
2024/05/14/14:32:47.860649,-0.0578985325992,0.0817141085863,36.0,58.726688385,108.547424316
2024/05/14/14:32:47.960765,0.0,0.102015219629,37.0,58.5611839294,107.86063385
2024/05/14/14:32:48.060973,0.115411385894,0.122232303023,37.0,58.2399253845,107.231460571
2024/05/14/14:32:48.161055,0.0,0.102015219629,35.0,57.8469429016,106.64440155
2024/05/14/14:32:48.261180,0.0578985400498,0.122232303023,35.0,57.3876838684,106.10760498
2024/05/14/14:32:48.361343,0.0,0.102015219629,34.0,56.8685112,105.628509521
2024/05/14/14:32:48.461401,-0.0578989200294,0.0817141085863,33.0,55.9851799011,104.532325745
2024/05/14/14:32:48.561512,0.0,0.122232303023,34.0,55.6639213562,103.903152466
2024/05/14/14:32:48.661588,0.0,0.0817141085863,32.0,54.9480247498,102.68409729
2024/05/14/14:32:48.761714,0.115411482751,0.102015219629,33.0,54.1308174133,101.537773132
2024/05/14/14:32:48.861748,-0.0578651577234,0.142349466681,31.0,53.6116447449,101.058677673
2024/05/14/14:32:48.961878,0.172070890665,0.102015219629,32.0,53.121295929,100.549552917
2024/05/14/14:32:49.061963,-0.0578651577234,0.142349466681,29.0,52.630947113,100.040428162
2024/05/14/14:32:49.162028,0.0,0.0,30.0,52.1405982971,99.5313034058
