time,.pitch,.roll,.height,.xx,.yy
2024/05/14/14:10:41.288395,0.0,0.0,39.0,112.050933838,165.038345337
2024/05/14/14:10:41.388629,0.0,0.0,43.0,111.12071228,164.674530029
2024/05/14/14:10:41.488678,0.0,0.0,46.0,110.157783508,164.404769897
2024/05/14/14:10:41.588814,0.0,0.0,48.0,109.194618225,164.135879517
2024/05/14/14:10:41.688953,0.0,0.0,52.0,108.231445312,163.866989136
2024/05/14/14:10:41.789068,0.0,0.0,55.0,107.2682724,163.598083496
2024/05/14/14:10:41.889172,0.0,0.0,57.0,106.305107117,163.329193115
2024/05/14/14:10:41.989301,0.0,0.0,59.0,105.341934204,163.060302734
2024/05/14/14:10:42.089421,0.0,0.0,62.0,104.382606506,162.7787323
2024/05/14/14:10:42.189460,-0.115411512554,0.0204712562263,63.0,103.471389771,162.369628906
2024/05/14/14:10:42.289621,-0.057898554951,0.0204712562263,65.0,102.802742004,162.14163208
2024/05/14/14:10:42.389775,-0.0578987710178,0.0204712562263,66.0,102.205795288,161.763839722
2024/05/14/14:10:42.489885,0.0,0.0204712562263,67.0,101.65738678,161.318511963
2024/05/14/14:10:42.589987,-0.057898554951,0.0204712562263,67.0,101.020172119,161.013504028
2024/05/14/14:10:42.690067,0.0,0.0204712562263,68.0,100.351524353,160.785507202
2024/05/14/14:10:42.790227,0.0,0.0204712562263,68.0,99.6607131958,160.637680054
2024/05/14/14:10:42.890305,0.0,0.0204712562263,68.0,98.9573135376,160.57208252
2024/05/14/14:10:42.990461,0.0,0.0204712562263,68.0,98.2886657715,160.344085693
2024/05/14/14:10:43.090517,0.0,0.0204712562263,68.0,97.6514511108,160.039077759
2024/05/14/14:10:43.190614,0.0,0.0204712562263,68.0,96.9606399536,159.89125061
2024/05/14/14:10:43.290719,0.0,0.0,68.0,95.5980300903,159.514572144
2024/05/14/14:10:43.390798,0.057898554951,0.0,68.0,94.9608154297,159.209564209
2024/05/14/14:10:43.491031,0.0,0.0,67.0,94.3638687134,158.831771851
2024/05/14/14:10:43.591097,0.05789886415,0.0,67.0,93.8154602051,158.386444092
2024/05/14/14:10:43.691254,0.0578650459647,0.0,66.0,93.3231964111,157.879745483
2024/05/14/14:10:43.791409,0.0,0.0,65.0,92.8016586304,157.402618408
2024/05/14/14:10:43.891489,0.0578650459647,0.0,65.0,92.2801208496,156.925491333
2024/05/14/14:10:43.991636,0.0,0.0,64.0,91.7585830688,156.448364258
2024/05/14/14:10:44.091813,0.0578650459647,0.0204712562263,64.0,91.2370452881,155.971237183
2024/05/14/14:10:44.191893,0.0,0.0204712562263,63.0,90.7155075073,155.494110107
2024/05/14/14:10:44.292019,0.0,0.0409253723919,62.0,89.6724319458,154.539855957
2024/05/14/14:10:44.392176,0.0578985624015,0.0204712562263,62.0,89.0754852295,154.162063599
2024/05/14/14:10:44.492245,0.057898554951,0.0204712562263,61.0,88.4382705688,153.857055664
2024/05/14/14:10:44.592729,0.0,0.0204712562263,60.0,87.7696228027,153.629058838
2024/05/14/14:10:44.692820,0.0578987710178,0.0204712562263,60.0,87.1726760864,153.251266479
2024/05/14/14:10:44.792927,0.0,0.0204712562263,59.0,86.6242675781,152.805938721
2024/05/14/14:10:44.893010,0.0578988045454,0.0204712562263,59.0,86.1320037842,152.299240112
2024/05/14/14:10:44.993197,0.0,0.0204712562263,58.0,85.7027130127,151.738189697
2024/05/14/14:10:45.093258,0.0,0.0,58.0,85.1543045044,151.292861938
2024/05/14/14:10:45.193337,0.0,0.0,58.0,84.5573577881,150.91506958
2024/05/14/14:10:45.293440,0.0,0.0,58.0,84.0650939941,150.408370972
2024/05/14/14:10:45.393573,0.0,0.0,58.0,83.6358032227,149.847320557
2024/05/14/14:10:45.493647,0.0,0.0,58.0,83.0873947144,149.401992798
2024/05/14/14:10:45.593719,0.0,0.0,58.0,82.490447998,149.024200439
2024/05/14/14:10:45.693803,0.0,0.0,58.0,81.8532333374,148.719192505
2024/05/14/14:10:45.793828,-0.05789886415,0.0,58.0,81.3048248291,148.273864746
2024/05/14/14:10:45.893908,0.0,0.0,59.0,80.8125610352,147.767166138
2024/05/14/14:10:45.994031,0.0,0.0,59.0,80.3832702637,147.206115723
2024/05/14/14:10:46.094108,0.0,0.0,59.0,80.022895813,146.598495483
2024/05/14/14:10:46.194182,-0.057865139097,0.0,59.0,79.6271514893,146.012802124
2024/05/14/14:10:46.294283,-0.057865139097,0.0,60.0,79.2314071655,145.427108765
2024/05/14/14:10:46.394415,0.0,0.0,61.0,78.8356628418,144.841415405
2024/05/14/14:10:46.494530,-0.0578653179109,0.0,61.0,78.153465271,143.609954834
2024/05/14/14:10:46.594581,0.0,0.0,62.0,77.8292999268,142.981811523
2024/05/14/14:10:46.694641,0.0,0.0,63.0,77.1809692383,141.725524902
2024/05/14/14:10:46.794779,0.0,0.0,63.0,76.7516784668,141.164474487
2024/05/14/14:10:46.894867,-0.0578987710178,0.0,63.0,76.2594146729,140.657775879
2024/05/14/14:10:46.995002,0.0,0.0,64.0,75.7110061646,140.21244812
2024/05/14/14:10:47.095090,0.0,0.0,64.0,75.1140594482,139.834655762
2024/05/14/14:10:47.195327,-0.0578648224473,-0.0204712562263,64.0,74.5400543213,139.422134399
2024/05/14/14:10:47.295363,0.0,-0.0204712562263,65.0,73.9660491943,139.009613037
2024/05/14/14:10:47.395547,0.0,-0.0204712562263,65.0,73.4737854004,138.502914429
2024/05/14/14:10:47.495667,0.0,-0.0204712562263,65.0,73.0444946289,137.941864014
2024/05/14/14:10:47.595777,0.0,-0.0204712562263,65.0,72.6841201782,137.334243774
2024/05/14/14:10:47.695902,0.0,-0.0204712562263,65.0,72.3976669312,136.688476562
2024/05/14/14:10:47.796068,0.057898748666,-0.0204712562263,65.0,71.8649368286,135.385375977
2024/05/14/14:10:47.896250,0.0,-0.0204712562263,64.0,71.7371444702,134.690582275
2024/05/14/14:10:47.996252,0.0578986555338,0.0,64.0,71.4000015259,133.317657471
2024/05/14/14:10:48.096418,0.0,0.0,63.0,71.1135482788,132.671890259
2024/05/14/14:10:48.196458,0.0578988045454,0.0,63.0,70.7531738281,132.06427002
2024/05/14/14:10:48.296596,0.05789886415,0.0,62.0,70.3238830566,131.503219604
2024/05/14/14:10:48.396776,0.0,0.0,61.0,69.8316192627,130.996520996
2024/05/14/14:10:48.496858,0.0578988045454,-0.0204712562263,61.0,68.8213653564,130.016082764
2024/05/14/14:10:48.596932,0.0578985773027,-0.0409253723919,60.0,68.392074585,129.455032349
2024/05/14/14:10:48.697039,0.0578986555338,-0.0204712562263,59.0,68.0317001343,128.847412109
2024/05/14/14:10:48.797145,0.0578982979059,-0.0204712562263,58.0,67.7452468872,128.201644897
2024/05/14/14:10:48.897314,0.057898748666,0.0204712562263,57.0,67.5366821289,127.526679993
2024/05/14/14:10:48.997288,0.0,0.0,56.0,67.4088897705,126.831886292
2024/05/14/14:10:49.097493,0.0578987114131,0.0409253723919,56.0,67.3636474609,126.12688446
2024/05/14/14:10:49.197640,0.0578984878957,0.0409253723919,55.0,67.4015884399,125.421455383
2024/05/14/14:10:49.297737,0.0,0.0409253723919,54.0,67.5221786499,124.725372314
2024/05/14/14:10:49.397768,0.057898748666,0.0409253723919,54.0,67.4769363403,124.020370483
2024/05/14/14:10:49.497885,0.0578988902271,0.0613452866673,53.0,67.3491439819,123.325576782
2024/05/14/14:10:49.597998,0.0578986555338,0.0613452866673,52.0,67.1405792236,122.650619507
2024/05/14/14:10:49.698085,0.0578650310636,0.0409253723919,51.0,66.8541259766,122.004852295
2024/05/14/14:10:49.798188,0.0578985773027,0.0409253723919,50.0,66.6060409546,121.342956543
2024/05/14/14:10:49.898308,0.0578988045454,0.0409253723919,49.0,66.2456665039,120.735336304
2024/05/14/14:10:49.998418,0.0578984133899,0.0409253723919,48.0,65.8163757324,120.174285889
2024/05/14/14:10:50.098541,0.0578985773027,0.0409253723919,47.0,65.3241119385,119.667579651
2024/05/14/14:10:50.198577,0.0578986555338,0.0204712562263,46.0,64.9637374878,119.059959412
2024/05/14/14:10:50.298731,0.0,0.0409253723919,45.0,64.6772842407,118.4141922
2024/05/14/14:10:50.398821,0.0,0.0409253723919,45.0,64.4687194824,117.739234924
2024/05/14/14:10:50.498942,0.115412004292,0.0204712562263,45.0,64.1083450317,117.131614685
2024/05/14/14:10:50.599015,0.0578649677336,0.0409253723919,43.0,63.6790542603,116.57056427
2024/05/14/14:10:50.699110,0.0578985251486,0.0613452866673,42.0,63.2833061218,115.984870911
2024/05/14/14:10:50.799198,0.0,0.0409253723919,41.0,62.9968490601,115.339103699
2024/05/14/14:10:50.899280,0.0,0.0613452866673,41.0,62.7882804871,114.664146423
2024/05/14/14:10:50.999472,0.0,0.0817141085863,41.0,62.6604919434,113.969352722
2024/05/14/14:10:51.099601,0.0578650310636,0.0817141085863,41.0,62.2054672241,112.637123108
2024/05/14/14:10:51.199573,0.0,0.0613452866673,40.0,61.9573822021,111.975227356
2024/05/14/14:10:51.299793,0.0,0.102015219629,40.0,61.5970115662,111.367607117
2024/05/14/14:10:51.399974,0.0,0.102015219629,40.0,61.3884429932,110.692649841
2024/05/14/14:10:51.500049,-0.0578654594719,0.102015219629,39.0,60.7799873352,109.42313385
2024/05/14/14:10:51.600184,0.0,0.102015219629,40.0,60.4558258057,108.79499054
2024/05/14/14:10:51.700352,-0.0578985251486,0.102015219629,39.0,59.7023735046,107.605796814
2024/05/14/14:10:51.800553,0.0,0.122232303023,40.0,59.4159164429,106.960029602
2024/05/14/14:10:51.900579,0.0,0.142349466681,39.0,58.7675933838,105.703742981
2024/05/14/14:10:52.000701,0.115411661565,0.122232303023,40.0,58.0141410828,104.514549255
2024/05/14/14:10:52.100892,0.115411631763,0.142349466681,38.0,57.5218811035,104.007843018
2024/05/14/14:10:52.200969,0.0,0.122232303023,36.0,56.9734764099,103.562507629
2024/05/14/14:10:52.301144,0.0578985624015,0.0817141085863,36.0,56.3765296936,103.184715271
2024/05/14/14:10:52.401196,0.0,0.0817141085863,35.0,55.739315033,102.879707336
2024/05/14/14:10:52.501304,0.115411661565,0.102015219629,35.0,55.1909103394,102.434371948
2024/05/14/14:10:52.601395,0.0,0.0817141085863,33.0,54.6986503601,101.92766571
2024/05/14/14:10:52.701571,0.0,0.142349466681,32.0,53.7478218079,100.88949585
2024/05/14/14:10:52.801683,0.0,0.0817141085863,30.0,52.7375717163,99.9090423584
2024/05/14/14:10:52.901796,0.0,0.0,30.0,52.140625,99.53125
