time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2023/12/25/17:14:39.923655,871596,1703495679,923311255,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.93,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.93,24.8828487658,121.156063238,352.4472,0.0035,-0.0007,-0.0004,-1.337262264,-0.353221161,159.890202772,INS_SOLUTION_GOOD
2023/12/25/17:14:39.933162,871597,1703495679,932792924,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.94,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.94,24.8828487656,121.156063237,352.4472,0.003,-0.0006,0.0001,-1.336757697,-0.355053099,159.889581278,INS_SOLUTION_GOOD
2023/12/25/17:14:39.943456,871598,1703495679,943055673,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.95,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.95,24.8828487655,121.156063237,352.4472,0.0026,-0.001,-0.0,-1.33668874,-0.355453293,159.890368295,INS_SOLUTION_GOOD
2023/12/25/17:14:39.953496,871599,1703495679,953136334,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.96,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.96,24.8828487649,121.156063236,352.4472,0.0024,-0.0008,0.0005,-1.335811863,-0.356822727,159.890187565,INS_SOLUTION_GOOD
2023/12/25/17:14:39.963732,871600,1703495679,963173256,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.97,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.97,24.8828487645,121.156063236,352.4472,0.0022,-0.0004,-0.0001,-1.334423577,-0.358555358,159.892125,INS_SOLUTION_GOOD
2023/12/25/17:14:39.973226,871601,1703495679,972874341,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.98,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.98,24.8828487641,121.156063235,352.4472,0.0023,-0.0004,-0.0002,-1.333647872,-0.359773312,159.892442002,INS_SOLUTION_GOOD
2023/12/25/17:14:39.983604,871602,1703495679,983262881,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119697.99,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119697.99,24.8828487637,121.156063235,352.4473,0.0022,-0.0002,-0.0003,-1.333932585,-0.360355272,159.889625766,INS_SOLUTION_GOOD
2023/12/25/17:14:39.996684,871603,1703495679,996379445,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119698.0,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119698.0,24.8828487636,121.156063235,352.4473,0.0024,-0.0001,-0.0003,-1.331688717,-0.361502788,159.891283976,INS_SOLUTION_GOOD
2023/12/25/17:14:40.010719,871604,1703495680,10317908,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119698.01,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119698.01,24.882848763,121.156063234,352.4473,0.0029,0.0002,-0.0005,-1.332377733,-0.362795156,159.889185902,INS_SOLUTION_GOOD
2023/12/25/17:14:40.013522,871605,1703495680,13296354,,INSPVAA,USB2,0,30.5,FINESTEERING,2294,119698.02,33570816,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14968,2294,119698.02,24.882848763,121.156063234,352.4473,0.0035,0.0004,-0.0005,-1.332062036,-0.365915589,159.890319509,INS_SOLUTION_GOOD
