time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:16:25.696708,172727,1703495785,694979833,/gps,0,0,24.8828495717,121.156066835,352.320007324,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:25.747582,172728,1703495785,744884935,/gps,0,0,24.882849335,121.15606693,352.320007324,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:25.797670,172729,1703495785,795318359,/gps,0,0,24.8828490867,121.156067028,352.320007324,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:25.847404,172730,1703495785,845294135,/gps,0,0,24.88284883,121.156067128,352.309997559,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:25.896878,172731,1703495785,895038433,/gps,0,0,24.8828485617,121.15606723,352.309997559,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:25.947850,172732,1703495785,945045154,/gps,0,0,24.882848285,121.156067335,352.309997559,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:26.010786,172733,1703495786,9711437,/gps,0,0,24.882848,121.156067445,352.309997559,"(0.00021316001005113137, 0.0, 0.0, 0.0, 0.0001849600049042702, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:26.046540,172734,1703495786,44855928,/gps,0,0,24.8828477117,121.156067558,352.309997559,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.097590,172735,1703495786,95471546,/gps,0,0,24.8828474167,121.156067682,352.309997559,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.146491,172736,1703495786,144766157,/gps,0,0,24.8828471133,121.156067808,352.309997559,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.197052,172737,1703495786,195177969,/gps,0,0,24.8828468017,121.156067938,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.247064,172738,1703495786,245060650,/gps,0,0,24.8828464817,121.156068067,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.298150,172739,1703495786,295458668,/gps,0,0,24.8828461533,121.156068197,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.347054,172740,1703495786,344969045,/gps,0,0,24.8828458183,121.15606833,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.397966,172741,1703495786,395859425,/gps,0,0,24.8828454783,121.156068465,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.446731,172742,1703495786,444943852,/gps,0,0,24.8828451317,121.156068603,352.299987793,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.496960,172743,1703495786,495133129,/gps,0,0,24.8828447767,121.156068748,352.290008545,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.546990,172744,1703495786,544933890,/gps,0,0,24.88284441,121.156068893,352.290008545,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.598173,172745,1703495786,595462023,/gps,0,0,24.882844035,121.156069043,352.290008545,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.646995,172746,1703495786,645061355,/gps,0,0,24.8828436517,121.156069193,352.279998779,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.697012,172747,1703495786,695140283,/gps,0,0,24.88284326,121.156069348,352.279998779,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.746700,172748,1703495786,745053885,/gps,0,0,24.8828428617,121.15606951,352.279998779,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.797573,172749,1703495786,795639038,/gps,0,0,24.8828424583,121.156069678,352.279998779,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.847169,172750,1703495786,845067303,/gps,0,0,24.8828420483,121.156069858,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.897603,172751,1703495786,895553956,/gps,0,0,24.8828416317,121.156070042,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:26.946849,172752,1703495786,944892680,/gps,0,0,24.8828412067,121.156070228,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:27.010592,172753,1703495786,998479778,/gps,0,0,24.88284077,121.156070417,352.269989014,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:27.046662,172754,1703495787,45000514,/gps,0,0,24.882840325,121.156070608,352.269989014,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.096940,172755,1703495787,95166211,/gps,0,0,24.8828398817,121.1560708,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.146822,172756,1703495787,144799745,/gps,0,0,24.88283943,121.156070988,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.197597,172757,1703495787,195579959,/gps,0,0,24.8828389683,121.15607118,352.260009766,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:27.247038,172758,1703495787,245055662,/gps,0,0,24.8828385033,121.15607138,352.25,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
