time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/10/31/17:18:47.270163,127683,1698743927,268165069,/gps,0,0,24.8819092667,121.15638482,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.322242,127684,1698743927,318207531,/gps,0,0,24.88190927,121.156384833,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.369481,127685,1698743927,367841716,/gps,0,0,24.881909275,121.15638485,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.420169,127686,1698743927,417756911,/gps,0,0,24.88190928,121.15638487,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.470564,127687,1698743927,468136020,/gps,0,0,24.881909285,121.15638489,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.519484,127688,1698743927,517445679,/gps,0,0,24.8819092883,121.156384915,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.569614,127689,1698743927,567999092,/gps,0,0,24.881909295,121.156384942,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.620513,127690,1698743927,617945391,/gps,0,0,24.8819093,121.156384967,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.670169,127691,1698743927,668005997,/gps,0,0,24.8819093017,121.156385002,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.719376,127692,1698743927,717703918,/gps,0,0,24.8819093067,121.15638504,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.769571,127693,1698743927,768251012,/gps,0,0,24.8819093167,121.156385083,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.819549,127694,1698743927,817507779,/gps,0,0,24.8819093233,121.15638514,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.870553,127695,1698743927,868091379,/gps,0,0,24.881909335,121.156385205,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.920248,127696,1698743927,917785023,/gps,0,0,24.8819093483,121.156385285,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:47.970455,127697,1698743927,967692985,/gps,0,0,24.8819093683,121.156385383,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.019547,127698,1698743928,18259528,/gps,0,0,24.88190939,121.1563855,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.080827,127699,1698743928,70768455,/gps,0,0,24.8819094167,121.156385635,349.130004883,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.119446,127700,1698743928,118287195,/gps,0,0,24.881909445,121.156385792,349.130004883,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.169850,127701,1698743928,167883124,/gps,0,0,24.8819094767,121.156385967,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.219746,127702,1698743928,217847845,/gps,0,0,24.8819095133,121.156386162,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.369747,127703,1698743928,367861573,/gps,0,0,24.8819096483,121.15638687,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.419312,127704,1698743928,417541912,/gps,0,0,24.8819097033,121.156387145,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.469680,127705,1698743928,467901656,/gps,0,0,24.881909765,121.156387443,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.519815,127706,1698743928,517571357,/gps,0,0,24.88190983,121.156387758,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.570893,127707,1698743928,569212124,/gps,0,0,24.8819098983,121.156388092,349.119995117,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.619616,127708,1698743928,618242222,/gps,0,0,24.88190997,121.156388442,349.109985352,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.670148,127709,1698743928,667955885,/gps,0,0,24.88191005,121.156388807,349.109985352,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.719710,127710,1698743928,717913898,/gps,0,0,24.8819101333,121.156389188,349.109985352,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.769554,127711,1698743928,767792252,/gps,0,0,24.8819102167,121.156389588,349.109985352,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.819583,127712,1698743928,817748471,/gps,0,0,24.8819102983,121.156390002,349.109985352,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.870455,127713,1698743928,868212533,/gps,0,0,24.8819103833,121.156390427,349.100006104,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.919599,127714,1698743928,917701252,/gps,0,0,24.88191047,121.156390868,349.100006104,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:48.969847,127715,1698743928,968063422,/gps,0,0,24.8819105583,121.156391323,349.100006104,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:49.019232,127716,1698743929,17563982,/gps,0,0,24.8819106517,121.156391787,349.100006104,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:49.081207,127717,1698743929,70893603,/gps,0,0,24.881910745,121.156392265,349.089996338,"(5.476000003308058e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012543999105453507)",2
2023/10/31/17:18:49.119223,127718,1698743929,117524031,/gps,0,0,24.8819108417,121.156392753,349.089996338,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.170127,127719,1698743929,167902620,/gps,0,0,24.8819109383,121.156393262,349.089996338,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.220015,127720,1698743929,218103245,/gps,0,0,24.8819110383,121.156393785,349.089996338,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.269657,127721,1698743929,267948111,/gps,0,0,24.881911145,121.156394318,349.089996338,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.319669,127722,1698743929,318113061,/gps,0,0,24.881911255,121.156394863,349.079986572,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.369804,127723,1698743929,368573100,/gps,0,0,24.8819113633,121.156395428,349.079986572,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.420107,127724,1698743929,418664082,/gps,0,0,24.88191148,121.156396002,349.079986572,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.470680,127725,1698743929,468032239,/gps,0,0,24.8819116,121.15639659,349.070007324,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.519359,127726,1698743929,518163538,/gps,0,0,24.8819117283,121.15639719,349.070007324,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.570049,127727,1698743929,568165126,/gps,0,0,24.881911865,121.156397813,349.070007324,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.619435,127728,1698743929,617737505,/gps,0,0,24.881912005,121.156398452,349.059997559,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.669934,127729,1698743929,668127616,/gps,0,0,24.8819121417,121.156399107,349.059997559,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.720057,127730,1698743929,717889441,/gps,0,0,24.881912285,121.156399772,349.059997559,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.769846,127731,1698743929,767891974,/gps,0,0,24.881912435,121.156400452,349.049987793,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.820001,127732,1698743929,818108123,/gps,0,0,24.8819125833,121.156401158,349.049987793,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.869904,127733,1698743929,868123442,/gps,0,0,24.881912735,121.156401882,349.049987793,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.919743,127734,1698743929,918046848,/gps,0,0,24.8819128917,121.15640262,349.040008545,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:49.970259,127735,1698743929,968983895,/gps,0,0,24.881913055,121.156403377,349.040008545,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:50.019517,127736,1698743930,17768200,/gps,0,0,24.881913225,121.156404152,349.040008545,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:50.081479,127737,1698743930,71282680,/gps,0,0,24.8819133983,121.15640494,349.029998779,"(5.624999748542908e-05, 0.0, 0.0, 0.0, 0.00010200999205350891, 0.0, 0.0, 0.0, 0.00012769000818341984)",2
2023/10/31/17:18:50.119530,127738,1698743930,117981286,/gps,0,0,24.8819135783,121.156405745,349.029998779,"(5.928999935746193e-05, 0.0, 0.0, 0.0, 0.00010609000408262018, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
2023/10/31/17:18:50.169659,127739,1698743930,167872110,/gps,0,0,24.8819137683,121.156406562,349.019989014,"(5.928999935746193e-05, 0.0, 0.0, 0.0, 0.00010609000408262018, 0.0, 0.0, 0.0, 0.00013225000051409006)",2
